CustomerID;"Gender";"Age";"Tenure";"MonthlyCharges";"Contract";"PaymentMethod";"InternetService";"TotalCharges";"Churn"
CUST10000;"Male";"71";"39";"78.82";"Two year";"Credit card";"DSL";"3189.92";"No"
CUST10001;"Female";"34";"46";"68.1";"Two year";"Credit card";"DSL";"3229.91";"No"
CUST10002;"Male";"26";"29";"84.23";"One year";"Bank transfer";"DSL";"2364.76";"No"
CUST10003;"Male";"50";"62";"26.49";"Month-to-month";"Mailed check";"Fiber optic";"1662.7";"No"
CUST10004;"Male";"70";"62";"78.0";"One year";"Electronic check";"Fiber optic";"4790.24";"No"
CUST10005;"Female";"37";"57";"76.15";"One year";"Mailed check";"Fiber optic";"4359.12";"No"
CUST10006;"Male";"30";"16";"76.07";"Month-to-month";"Electronic check";"Fiber optic";"1368.03";"No"
CUST10007;"Male";"45";"56";"80.35";"Month-to-month";"Bank transfer";"No";"4560.16";"No"
CUST10008;"Male";"65";"10";"87.65";"One year";"Electronic check";"DSL";"927.36";"No"
CUST10009;"Female";"46";"30";"100.5";"Month-to-month";"Electronic check";"DSL";"2971.97";"No"
CUST10010;"Male";"30";"25";"46.98";"One year";"Bank transfer";"DSL";"1026.09";"No"
CUST10011;"Male";"63";"5";"102.5";"One year";"Mailed check";"Fiber optic";"491.65";"Yes"
CUST10012;"Male";"52";"65";"69.83";"Two year";"Bank transfer";"No";"4659.61";"No"
CUST10013;"Male";"23";"49";"27.71";"Month-to-month";"Electronic check";"DSL";"1205.07";"No"
CUST10014;"Female";"35";"3";"25.86";"Month-to-month";"Bank transfer";"No";"25.86";"No"
CUST10015;"Male";"68";"45";"53.42";"One year";"Electronic check";"No";"2416.53";"No"
CUST10016;"Female";"22";"14";"98.49";"Month-to-month";"Bank transfer";"DSL";"1280.39";"No"
CUST10017;"Female";"64";"30";"90.77";"One year";"Credit card";"Fiber optic";"2643.85";"No"
CUST10018;"Female";"42";"68";"98.86";"One year";"Credit card";"Fiber optic";"6680.12";"Yes"
CUST10019;"Male";"19";"18";"71.73";"Month-to-month";"Bank transfer";"No";"1154.58";"Yes"
CUST10020;"Female";"27";"62";"64.02";"Month-to-month";"Mailed check";"DSL";"3871.83";"No"
CUST10021;"Male";"73";"37";"34.75";"Month-to-month";"Electronic check";"Fiber optic";"1356.09";"No"
CUST10022;"Female";"47";"25";"52.82";"Month-to-month";"Credit card";"DSL";"1189.76";"No"
CUST10023;"Female";"67";"48";"63.4";"Two year";"Mailed check";"Fiber optic";"2883.41";"No"
CUST10024;"Female";"62";"65";"28.86";"Two year";"Electronic check";"Fiber optic";"1812.9";"Yes"
CUST10025;"Female";"22";"53";"42.06";"One year";"Credit card";"Fiber optic";"2302.38";"No"
CUST10026;"Female";"72";"15";"79.82";"One year";"Credit card";"No";"1177.61";"Yes"
CUST10027;"Female";"73";"49";"93.57";"Month-to-month";"Bank transfer";"No";"4538.47";"No"
CUST10028;"Female";"50";"68";"119.83";"Two year";"Electronic check";"No";"8152.88";"No"
CUST10029;"Female";"71";"12";"113.31";"One year";"Mailed check";"DSL";"1185.15";"Yes"
CUST10030;"Male";"18";"59";"84.26";"One year";"Mailed check";"Fiber optic";"5020.81";"No"
CUST10031;"Male";"35";"37";"62.12";"Two year";"Mailed check";"DSL";"2336.78";"No"
CUST10032;"Female";"49";"61";"83.62";"Month-to-month";"Electronic check";"Fiber optic";"5059.89";"No"
CUST10033;"Female";"64";"43";"98.57";"Two year";"Mailed check";"Fiber optic";"4339.1";"Yes"
CUST10034;"Female";"66";"70";"31.83";"Month-to-month";"Mailed check";"Fiber optic";"2115.35";"No"
CUST10035;"Male";"28";"39";"60.99";"Month-to-month";"Mailed check";"Fiber optic";"2491.4";"Yes"
CUST10036;"Female";"38";"56";"103.98";"Month-to-month";"Bank transfer";"No";"5838.33";"No"
CUST10037;"Male";"43";"63";"58.38";"Two year";"Bank transfer";"DSL";"3644.28";"No"
CUST10038;"Male";"42";"46";"77.19";"Two year";"Electronic check";"Fiber optic";"3548.75";"No"
CUST10039;"Male";"39";"11";"78.78";"One year";"Electronic check";"Fiber optic";"855.85";"Yes"
CUST10040;"Male";"44";"62";"38.45";"One year";"Mailed check";"DSL";"2505.93";"No"
CUST10041;"Male";"66";"25";"56.22";"One year";"Bank transfer";"DSL";"1297.83";"No"
CUST10042;"Female";"30";"71";"53.45";"Two year";"Credit card";"No";"3718.7";"No"
CUST10043;"Female";"50";"52";"22.62";"Month-to-month";"Credit card";"No";"1279.87";"No"
CUST10044;"Female";"51";"4";"22.42";"Month-to-month";"Mailed check";"No";"30.13";"No"
CUST10045;"Female";"58";"59";"103.17";"Month-to-month";"Mailed check";"No";"6177.08";"Yes"
CUST10046;"Female";"52";"72";"47.31";"One year";"Bank transfer";"DSL";"3576.26";"No"
CUST10047;"Male";"18";"20";"71.81";"One year";"Bank transfer";"Fiber optic";"1396.02";"No"
CUST10048;"Female";"38";"63";"49.87";"Month-to-month";"Bank transfer";"Fiber optic";"3209.95";"Yes"
CUST10049;"Female";"65";"54";"114.07";"Month-to-month";"Electronic check";"Fiber optic";"6044.41";"Yes"
CUST10050;"Male";"72";"57";"45.93";"Two year";"Electronic check";"Fiber optic";"2693.48";"No"
CUST10051;"Female";"23";"41";"62.97";"Month-to-month";"Mailed check";"Fiber optic";"2601.71";"No"
CUST10052;"Male";"45";"3";"107.27";"One year";"Electronic check";"Fiber optic";"369.11";"Yes"
CUST10053;"Female";"34";"6";"104.19";"Two year";"Bank transfer";"Fiber optic";"560.58";"No"
CUST10054;"Male";"22";"5";"38.61";"Month-to-month";"Bank transfer";"DSL";"38.61";"No"
CUST10055;"Female";"48";"5";"100.26";"Month-to-month";"Electronic check";"Fiber optic";"551.63";"Yes"
CUST10056;"Female";"22";"54";"65.82";"One year";"Credit card";"Fiber optic";"3354.28";"No"
CUST10057;"Male";"55";"47";"68.3";"Two year";"Mailed check";"Fiber optic";"3178.36";"No"
CUST10058;"Male";"20";"49";"33.35";"Month-to-month";"Credit card";"DSL";"1728.27";"No"
CUST10059;"Male";"70";"9";"28.06";"Two year";"Mailed check";"Fiber optic";"271.73";"No"
CUST10060;"Male";"40";"20";"92.79";"Month-to-month";"Credit card";"DSL";"2050.63";"Yes"
CUST10061;"Male";"54";"61";"69.65";"Month-to-month";"Electronic check";"Fiber optic";"4351.16";"Yes"
CUST10062;"Male";"70";"35";"63.69";"One year";"Mailed check";"Fiber optic";"2163.76";"Yes"
CUST10063;"Male";"54";"50";"92.95";"Two year";"Mailed check";"Fiber optic";"4650.23";"No"
CUST10064;"Male";"27";"62";"96.55";"Month-to-month";"Mailed check";"DSL";"5981.36";"No"
CUST10065;"Female";"27";"17";"35.89";"Two year";"Bank transfer";"Fiber optic";"451.91";"No"
CUST10066;"Female";"36";"3";"81.02";"One year";"Bank transfer";"Fiber optic";"149.02";"No"
CUST10067;"Male";"34";"32";"33.54";"Month-to-month";"Credit card";"Fiber optic";"1017.2";"Yes"
CUST10068;"Female";"38";"13";"95.14";"Month-to-month";"Electronic check";"Fiber optic";"1036.82";"Yes"
CUST10069;"Female";"31";"68";"85.7";"Two year";"Bank transfer";"Fiber optic";"5832.35";"No"
CUST10070;"Female";"26";"14";"115.66";"Month-to-month";"Mailed check";"Fiber optic";"1594.33";"Yes"
CUST10071;"Female";"63";"11";"26.9";"Month-to-month";"Bank transfer";"DSL";"128.61";"Yes"
CUST10072;"Male";"18";"56";"25.71";"Month-to-month";"Electronic check";"DSL";"1480.18";"No"
CUST10073;"Female";"68";"67";"48.22";"Two year";"Bank transfer";"Fiber optic";"3302.33";"No"
CUST10074;"Male";"62";"29";"46.17";"One year";"Mailed check";"Fiber optic";"1361.63";"No"
CUST10075;"Female";"30";"9";"44.7";"One year";"Credit card";"Fiber optic";"369.89";"Yes"
CUST10076;"Female";"21";"67";"110.63";"Month-to-month";"Mailed check";"DSL";"7471.35";"No"
CUST10077;"Female";"18";"25";"44.95";"One year";"Electronic check";"DSL";"1191.77";"No"
CUST10078;"Male";"66";"42";"47.19";"One year";"Credit card";"Fiber optic";"2012.72";"Yes"
CUST10079;"Female";"57";"9";"95.94";"Two year";"Bank transfer";"DSL";"781.0";"No"
CUST10080;"Male";"49";"40";"64.97";"Two year";"Bank transfer";"Fiber optic";"2626.46";"No"
CUST10081;"Female";"51";"25";"97.67";"Month-to-month";"Bank transfer";"DSL";"2561.3";"Yes"
CUST10082;"Male";"45";"5";"26.54";"One year";"Credit card";"Fiber optic";"73.04";"No"
CUST10083;"Female";"48";"11";"68.76";"Month-to-month";"Mailed check";"No";"956.36";"Yes"
CUST10084;"Male";"25";"59";"23.36";"Month-to-month";"Credit card";"DSL";"1325.68";"No"
CUST10085;"Male";"56";"38";"26.27";"Month-to-month";"Credit card";"Fiber optic";"1001.5";"No"
CUST10086;"Female";"43";"72";"110.64";"Month-to-month";"Electronic check";"DSL";"7898.83";"No"
CUST10087;"Male";"51";"5";"33.92";"Month-to-month";"Credit card";"Fiber optic";"191.93";"Yes"
CUST10088;"Female";"71";"48";"73.24";"One year";"Bank transfer";"Fiber optic";"3341.3";"No"
CUST10089;"Female";"71";"18";"61.11";"Month-to-month";"Mailed check";"Fiber optic";"1045.38";"No"
CUST10090;"Female";"20";"70";"54.73";"One year";"Mailed check";"Fiber optic";"3721.89";"No"
CUST10091;"Female";"67";"37";"109.98";"Month-to-month";"Mailed check";"No";"4082.79";"Yes"
CUST10092;"Female";"29";"60";"22.18";"Month-to-month";"Bank transfer";"DSL";"1430.24";"No"
CUST10093;"Female";"18";"48";"86.38";"One year";"Bank transfer";"DSL";"4210.84";"No"
CUST10094;"Female";"71";"28";"116.34";"Month-to-month";"Bank transfer";"No";"3057.52";"No"
CUST10095;"Female";"61";"69";"76.02";"Month-to-month";"Bank transfer";"Fiber optic";"5445.38";"No"
CUST10096;"Female";"22";"40";"113.68";"One year";"Bank transfer";"No";"4576.73";"No"
CUST10097;"Female";"47";"45";"25.23";"Month-to-month";"Credit card";"Fiber optic";"1057.7";"No"
CUST10098;"Female";"47";"62";"61.88";"Month-to-month";"Bank transfer";"No";"3852.27";"No"
CUST10099;"Male";"74";"58";"46.02";"Month-to-month";"Bank transfer";"Fiber optic";"2686.78";"No"
CUST10100;"Male";"34";"67";"93.08";"Two year";"Bank transfer";"Fiber optic";"6169.68";"No"
CUST10101;"Female";"65";"56";"118.13";"One year";"Bank transfer";"No";"6635.07";"No"
CUST10102;"Female";"64";"40";"45.65";"One year";"Mailed check";"Fiber optic";"1765.25";"No"
CUST10103;"Female";"40";"40";"85.42";"One year";"Bank transfer";"DSL";"3376.36";"No"
CUST10104;"Female";"32";"33";"39.81";"Month-to-month";"Credit card";"DSL";"1245.1";"No"
CUST10105;"Female";"54";"6";"76.53";"Month-to-month";"Credit card";"DSL";"315.91";"Yes"
CUST10106;"Female";"38";"19";"66.39";"One year";"Credit card";"DSL";"1275.99";"Yes"
CUST10107;"Female";"31";"40";"117.2";"Month-to-month";"Electronic check";"DSL";"4746.53";"No"
CUST10108;"Female";"19";"59";"80.85";"Month-to-month";"Mailed check";"Fiber optic";"4821.64";"Yes"
CUST10109;"Male";"28";"59";"54.95";"Month-to-month";"Bank transfer";"Fiber optic";"3324.04";"Yes"
CUST10110;"Female";"68";"48";"31.41";"Month-to-month";"Electronic check";"Fiber optic";"1540.11";"Yes"
CUST10111;"Male";"56";"41";"35.12";"Two year";"Bank transfer";"Fiber optic";"1386.65";"No"
CUST10112;"Female";"55";"13";"42.53";"Month-to-month";"Electronic check";"DSL";"636.86";"No"
CUST10113;"Female";"51";"45";"45.1";"Month-to-month";"Electronic check";"DSL";"1893.75";"No"
CUST10114;"Male";"55";"53";"105.06";"Month-to-month";"Credit card";"DSL";"5478.11";"No"
CUST10115;"Female";"67";"42";"76.12";"Two year";"Credit card";"Fiber optic";"3100.62";"No"
CUST10116;"Male";"51";"63";"72.34";"Month-to-month";"Electronic check";"DSL";"4665.43";"No"
CUST10117;"Female";"35";"27";"31.48";"Month-to-month";"Credit card";"DSL";"944.24";"No"
CUST10118;"Female";"47";"38";"106.01";"One year";"Electronic check";"Fiber optic";"4077.11";"No"
CUST10119;"Male";"32";"60";"92.28";"One year";"Mailed check";"No";"5643.99";"Yes"
CUST10120;"Female";"44";"7";"26.77";"Month-to-month";"Credit card";"DSL";"99.46";"Yes"
CUST10121;"Male";"68";"5";"90.78";"Month-to-month";"Credit card";"Fiber optic";"488.76";"No"
CUST10122;"Female";"51";"45";"74.35";"Month-to-month";"Credit card";"Fiber optic";"3333.23";"No"
CUST10123;"Male";"69";"58";"28.17";"Month-to-month";"Mailed check";"Fiber optic";"1718.55";"Yes"
CUST10124;"Male";"74";"31";"65.83";"Month-to-month";"Electronic check";"No";"2029.21";"Yes"
CUST10125;"Female";"55";"23";"68.47";"Month-to-month";"Bank transfer";"DSL";"1536.32";"No"
CUST10126;"Female";"50";"42";"36.58";"Month-to-month";"Credit card";"DSL";"1590.45";"No"
CUST10127;"Male";"41";"10";"114.57";"Month-to-month";"Electronic check";"No";"1233.32";"No"
CUST10128;"Female";"32";"32";"105.0";"One year";"Mailed check";"Fiber optic";"3293.17";"No"
CUST10129;"Female";"47";"53";"86.9";"Two year";"Bank transfer";"Fiber optic";"4599.59";"No"
CUST10130;"Female";"72";"30";"66.23";"One year";"Credit card";"Fiber optic";"1881.06";"No"
CUST10131;"Male";"59";"39";"61.18";"Month-to-month";"Mailed check";"Fiber optic";"2186.02";"No"
CUST10132;"Male";"68";"31";"85.1";"Month-to-month";"Mailed check";"No";"2658.15";"Yes"
CUST10133;"Male";"34";"2";"74.54";"Two year";"Bank transfer";"No";"209.97";"No"
CUST10134;"Male";"22";"12";"26.23";"Month-to-month";"Electronic check";"Fiber optic";"340.97";"Yes"
CUST10135;"Male";"46";"39";"71.25";"Month-to-month";"Credit card";"DSL";"2583.79";"Yes"
CUST10136;"Male";"21";"66";"100.64";"One year";"Credit card";"No";"6607.16";"No"
CUST10137;"Male";"27";"13";"65.92";"One year";"Electronic check";"DSL";"656.96";"No"
CUST10138;"Male";"73";"46";"25.2";"One year";"Electronic check";"DSL";"1296.17";"No"
CUST10139;"Male";"34";"27";"98.63";"Month-to-month";"Electronic check";"No";"2554.4";"Yes"
CUST10140;"Female";"27";"17";"40.14";"Month-to-month";"Bank transfer";"DSL";"807.92";"No"
